Document,Description
Application Form,"The Application Form enclosed within/
accompanying this Prospectus."
CDS Form 1,"Standard form by the CDSC Limited to
be used to open a CDS Account in CDS
through authorized central depository
agents."
CDS,"Securities Pledge Form (CDS 5 form)
Standard form by the CDS to be used for
utilizing loan facilities to subscribe for
Offer Shares."
Prospectus,"By NSE this long form booklet that
contains legal, compliance and relevant
information to assist investors in the
making of informed decisions."
