Group,Column,Company,Column
2023,2022,2023,2022
,Sh’000,"Sh’000
42,683
330,348",Sh’000
,"83,138",,"83,138"
,"290,695",,"262,749"
,"373,833","373,031
4,407","345,887"
,"10,720",,"9,976"
,"384,553","377,438
(469)
(39)","355,863"
,"(2,193)",,"(2,175)"
,(129),,(127)
,"382,231","376,930","353,561"
,,"317,171
59,759
-",
,"296,470",,"296,470"
,"78,797",,"57,091"
,"6,964",,-
,"382,231","376,930","353,561"
,,"376,930
(80,576)
(7,041)",
,"382,231",,"353,561"
,"(130,557)",,"(123,593)"
,"(1,440)",,"(1,280)"
,"250,234","289,313","228,688"
