Column,2005,2004,2003,2002,2001
"NSE Index
Market Capitalisation
(Shs’000)
Equity Capitalisation
Bond book value","3,973
462,520,000
225,375,000","2,946
314,150,000
190,217,000","2,738
317,890,000
186,902,000","1,363
112,500,000
139,034,000","1,355
86,000,000
87,100,000"
"Total Market capitalisation
Market Turnover
(Shs’000)
Equity turnover
Bond turnover","687,895,000
36,606,290
13,590,497","504,367,000
22,321,055
34,553,410","504,792,000
15,251,146
41,985,460","251,534,000
2,883,779
33,728,500","173,100,000
3,160,000
9,400,000"
"Total Market Turnover
Operating results
(Shs‘000)
Operating income
Administrative expenses","50,196,787
146,270
(104,613)","56,874,465
113,675
(89,226)","57,236,606
85,001
(83,258)","36,612,279
62,780
(67,844)","12,560,000
80,426
(85,745)"
"Gross operating
surplus /(deficit)
Other income","41,657
2,033","24,449
5,881","1,743
1,801","(5,064)
7,047","(5,319)
4,467"
"Operating deficit/surplus
Exceptional item
Surplus/deficit before tax
Taxation","43,690
43,690
(15,656)","30,330
(16,030)
14,300
(4,279)","3,544
3,544
(2,120)","1,983
1,983
(1,340)","(852)
(852)
212"
Net surplus/(deficit),"28,034","10,021","1,424",643,(640)
"Total assets
Members Funds","127,079
69,524","91,509
41,490","71,174
31,469","48,307
30,045","49,580
30,652"
