Name,Category,"Fees
Kshs","Sitting allowances
Kshs","Gross pay + other
allowances
Kshs","Provident scheme
contribution
Kshs","Total
Kshs"
Kiprono Kittony,Non-Executive,,"565,714",,-,
Bob Karina*,Non-Executive,,"821,429",,-,
Hosea Kili,Non-Executive,,"564,286",,-,
Isis Madison,Non-Executive,,"1,257,142",,-,
Nasim Devji,Non-Executive,,"328,571",,-,
Michael Turner,Non-Executive,,"1,042,857",,-,
Paul Vollant,Non-Executive,,"942,857",,-,
Paul Mwai*,Non-Executive,,"1,371,429",,-,
Risper Alaro,Non-Executive,,"1,214,286",,-,
Samuel Kimani*,Non-Executive,,"678,571",,-,
Donald Wangunyu,Non-Executive,,"435,714",,-,
Stephen Chege,Non-Executive,,"371,428",,-,
Geoffrey Odundo,Executive,,-,,"2,222,400",
,,,_________,,_________,
,,,"9,594,284",,"2,222,400",
,,,========,,========,
