Column,H1 2015,H1 2014,Increase %
Equity turnover,"`
213 Bn",201 Bn,6%
Total income,401.1 Mn,353.2 Mn,14%
Interest Income,44.2 Mn,13.5 Mn,Over 200%
Profit before tax,218.7Mn,178.9Mn,22%
Total assets,1.89 Bn,1.14 Bn,66%
