Description 6 Months Ended 30-06-2017,Column,6 Months Ended 30-06-2016,"Variance
2017 Actual Vs 2016 Actual
Kshs '000 %",Column
,Kshs '000,Kshs '000,Kshs '000,
Turnover-Equity (Bn),164,147,17,"12%
-9%
6%
-9%
9%"
Turnover-FIS (Bn),477,526,(49),
OPERATING INCOME,"282,603","266,796","15,807",
INTEREST INCOME,"47,125","51,766","(4,641)",
OTHER INCOME,"17,077","15,734","1,343",
,,,-,
TOTAL INCOME,"346,805","334,296","12,509",4%
,,,,"8%
(8%)"
OPERATION EXPENSES,"(254,664)","(235,782)","(18,882)",
SHARE OF PROFIT OF ASSOCIATE COMPANY,"7,518","8,138",(620),
PROFIT BEFORE TAXATION,"99,659","106,652","(6,993)",-7%
,,,,(11%)
TAXATION CHARGE,"(21,889)","(24,690)","2,801",
PROFIT AFTER TAX,"77,770","81,962","(4,192)",-5%
