No,Item,Details
1,No of Securities,60 GOK Treasury Bonds and 9 Corporate Bonds as of 31 December 2013
2,No of Segments,2 - Normal and Infrastructure
3,Segments,Fixed Income Securities Market Segment
4,"Market Capitalisation
(value in issue)",Over Kshs 700 billion
5,Types of Listees,"a) Government of Kenya Bonds
b) Corporate Bonds/Notes
c) Preference Shares"
6,Mix,Government of Kenya Bonds contributes the majority of the market capitalization.
7,Index,FTSE NSE Kenyan Shilling Government Bond Index Base Date 01st Jan 2012 = 100
