Group,Column,Company,Column
2020,2019,2020,2019
Sh’000,Sh’000,Sh’000,Sh’000
,"80,658
7,217
1,234",,
"63,471",,"46,528",
"20,508",,"20,508",
"1,159",,"1,159",
"85,138","89,109","68,195",
,"3,218
10,179
5,552
4,855
4,959
724
500
1,511
3,750
5,230
-
-
-
-
4
2
9
-
-
-
8,922",,
379,,379,
"10,317",,"10,317",
254,,254,
"1,639",,"1,639",
3,,3,
739,,739,
400,,400,
1,,1,
"3,650",,"3,650",
234,,234,
"6,025",,"6,025",
-,,"34,852",
"11,984",,"11,984",
-,,"1,695",
8,,-,
23,,-,
-,,-,
792,,792,
19,,19,
77,,77,
-,,-,
"36,544","49,415","73,060",
