Name,January 27,May 8,August 9,November 14
Mr. Samuel Kimani*,,√,√,√
Mrs. Farhana Hassanali - Hashmani*,,,√,√
Dr. Jonathan Ciano*,,√,,√
Mr. Job Kihumba,√,,√,√
Mr. Ewart Salins*,,√,√,√
Ms. Christine Mweti,,√,√,√
Mr. Edward Burbidge,√,√,√,√
Mr. Lucas Otieno**,√,,,
Mr. Ben Nyamweya,√,,,
Mr. Peter Mwangi,√,√,√,√
