Column,"Share
capital
Sh’000",Column,"Other
reserves
Sh’000",Column,"Retained
earnings
Sh’000",Column,"Non-
controlling
interest
Sh’000",Column
,"1,038,003",,428,,"883,258",,"15,509",
"Profit for the year
Other comprehensive income for the year",-,"-
-",-,"-
26,613","130,525","130,525
26,721","2,009","132,534
26,721"
,-,,108,,-,,-,
,-,"-
-
-
1,394
________
278,579
=======
278,579",108,"26,613
-
-
-
________
2,433
=======
2,433","130,525","157,246
(137,535)
(130,002)
3,408
________
2,067,811
=======
2,067,811","2,009",
,-,,-,,"(137,535)",,-,
,-,,-,,"(130,002)",,-,
,"2,014",,-,,-,,-,
,________,,________,,________,,________,
,"1,040,017",,536,,"746,246",,"17,518",
,=======,,=======,,=======,,=======,
,"1,040,017",,536,,"746,246",,"17,518",
"Profit for the year
Other comprehensive income for the year",-,"-
-",-,"-
31,496","13,876","13,876
29,563",(152),"13,724
29,563"
,-,,"(2,469)",,536,,-,
,-,,"(2,469)",,"14,412",,(152),
,-,,-,,"(130,002)",,-,
,-,,-,,"(104,002)",,-,
,"1,550",,-,,-,,-,
,________,,________,,________,,________,
,"1,041,567",,"(1,933)",,"526,654",,"17,366",
,=======,,=======,,=======,,=======,
