"AGENDA
ITEM",RESOLUTION,FOR,AGAINST
,ORDINARY BUSINESS,,
4.,"To adopt the audited Financial Statements for the Financial Year ended
31st December 2023",,
5.,"To approve a final dividend of Kshs. 0.16 per share and to approve the
closure of the Register of Members at the close of business on 30th May
2024 for one day for the purpose of determining the qualifying members
entitled to dividends.",,
6.,"To approve the Remuneration Report of the Board in respect of the Financial
Year ended 31st December 2023 and to authorize the Directors to fix
their remuneration.",,
7 (b),"To re-elect Mr. Stephen Chege (a Non-Executive Director representing listed
companies) in accordance with Articles 94 and 95.",,
7 (c),"To re-elect Mr. Donald Wangunyu (a Non-Executive Director representing
Trading Participants) in accordance with Articles 94 and 95.",,
8 (a),"To appoint Mr. John Niepold to continue serving as a member of the Board
Audit, Risk and Compliance Committee.",,
8 (b),"To appoint Ms. Risper Alaro to continue serving as a member of the Board
Audit, Risk and Compliance Committee.",,
8 (c),"To appoint Ms. Isis Nyongo - Madison to continue serving as a member of the
Board Audit, Risk and Compliance Committee.",,
9.,"To reappoint Deloitte & Touche LLP as the auditors for the Company for the
Financial Year ending 31st December 2024 and to authorize the Directors to
fix their remuneration.",,
