"Review of profitability
The 2018 Group six months profitability increased by 72% over similar period in 2017
resulting in a profit of Kshs 134 m compared to Kshs 78m in 2017 due to the following",Column,Column,Column
"main reasons:
Description",Movement in 2018,,Comment
,,Kshs '000,
Operating income,↑,"68,799","A 32% increase in equity turnover from Kshs. 84B in
2017 to Kshs. 108.5B in 2018. Bonds turnover
increased by 30% from 239B in 2017 to 311B in
2018"
Interest income,↑,"11,754","The 25% was as a result of additional investments in
higher earning treasury bills in 2018"
"Adminsitrative
expenses",↑,"22,668",This was a marginal increase of 9% in expenses
"Share of profit in
associate",↑,"7,136","Increase in PAT from Kshs 40m in 2017 to Kshs
67M in 2018. Main factor being a 32% increase in
transaction levy and 18% in depository levy."
