a),Finance and Strategy Committee
b),"Trading, Technology and Innovation
Committee"
c),Listing and Admissions Committee
d),Derivatives Market Oversight Committee
e),Self-Regulatory Organization (SRO) Committee
f),"Audit, Risk and Compliance Committee"
g),"Remuneration, Nominating and Human Capital
Committee"
