Board of Directors,"Overall responsibility of providing oversight on the implementation of the sustainability
strategy"
"Remuneration, Nominating and
Human Capital Committee","Committee in charge of sustainability on the NSE. Oversees progress against various KPIs on
various aspects on inclusion and diversity."
Finance and Strategy Committee,Oversees progress against performance on ESG and sustainable finance products
"NSE Sustainability Strategy Steering
Committee (Chief Executive Officer,
Chief Legal Officer, Chief Strategy,
Risk and Compliance Officer)","Working at corporate level to ensure sustainability is upheld by the organization.
Leads and oversees the organization’s efforts to
integrate ESG into its business strategy and operations.
Reports to the CEO and Board Committees on strategic
progress as well as risks and brand considerations"
NSE Sustainability Champions,Supporting implementation of sustainability at Divisional level in the organization.
