"12-month
expected
credit losses","Lifetime expected
credit losses",Column,Total
,(a),(b),
,Sh’000,"Sh’000
-
-",Sh’000
,"5,409",,"14,902"
,(183),,"(5,145)"
,"5,226",-,"9,757"
,,"-
-",
,"2,357",,"14,840"
,"3,052",,62
,"5,409",-,"14,902"
,,"-
-",
,"4,652",,"14,085"
,574,,"(4,334)"
,"5,226",-,"9,751"
,,"-
-",
,"2,357",,"13,156"
,"2,295",,929
,"4,652",-,"14,085"
