No,Event,Time,Date
1,Offer Opens,9:00 a.m.,24 July 2014
2,Offer Closes (Closure Date),4:00 p.m.,12 August 2014
3,Public announcement of the results of the Offer,by 5:00 p.m.,3 September 2014
4,"Electronic crediting of CDS Accounts and processing of
refunds (if applicable) (Refund Date)",by 5:00 p.m.,4 September 2014
5,"Self-Listing and commencement and trading of fully paid
NSE Shares on The Exchange (Self-Listing Date)",9:00 a.m.,9 September 2014
