Name,Category,Fees,"Sitting
allowances","Gross pay
+ other
allowances","Provident
scheme
contribution",Total
,,Sh,Sh,Sh,Sh,Sh
,,"960,000",,-,,"1,848,571"
,,"960,000",,-,,"2,731,429"
,,"720,000",,-,,"1,934,285"
,,"720,000",,-,,"2,091,428"
,,"720,000",,-,,"1,534,285"
,,"720,000",,-,,"1,991,429"
,,"720,000",,-,,"2,005,714"
,,"720,000",,-,,"2,005,714"
,,"720,000",,-,,"2,062,857"
,,"960,000",,-,,"2,251,428"
,,-,,"22,662,500",,"24,884,900"
,,________,,__________,,_________
,,"7,920,000",,"22,662,500",,"45,342,040"
,,=======,,========,,========
