"Automated
trading
system
software","Other
software","Broker back
office
software","Bond
software
license","Derivatives
software",WIP,Total
,Sh’000,"Sh’000
77,951
-
-",Sh’000,"Sh’000
54,338
-
-",Sh’000,
,"37,078",,"38,191",,315,
,"2,910",,-,,"2,080",
,"(1,257)",,-,,-,
,"38,731","77,951
-
-","38,191","54,338
-
-","2,395",
,"16,027",,-,,"3,834",
,"2,395",,-,,"(2,395)",
,"57,153","77,951","38,191","54,338","3,834",
,,"66,163
4,371
-",,"13,434
5,434
-",,
,"26,614",,"38,191",,-,
,"4,466",,-,,-,
,(497),,-,,-,
,"30,583","70,534
1,681","38,191","18,868
5,434",-,
,"5,029",,-,,-,
,"35,612","72,215","38,191","24,302",-,
,"21,541","5,736",-,"30,036","3,834",
,"8,148","7,417",-,"35,470","2,395",
