"Sh'000
116,300","Sh'000
18,404","Sh'000
107,312"
"14,650
1,182","26,292
(2,695)","14,650
657"
"15,832","23,597","15,307"
"132,132","42,001","122,619"
"116,272
28","18,403
1","107,312
-"
"116,300","18,404","107,312"
"132,104
28","42,000
1","122,619
-"
"132,132","42,001","122,619"
Sh,Sh,Sh
0.45,0.07,0.41
