"12 – month
expected credit
losses","Lifetime expected
credit losses
(a) (b)",Column,Total
Sh’000,Sh’000,Sh’000,Sh’000
,,"-
-
-
-
-
-",
,-,,"283,126"
,-,,"171,433"
,"5,053",,"34,365"
,"4,254",,"24,389"
,-,,"243,488"
,-,,"530,838"
,"9,307","-
-","1,287,639"
,"(9,307)",,"(13,511)"
,-,-,"1,274,128"
,,"-
-
-
-
-
-",
,-,,"112,678"
,-,,"199,870"
,"2,315",,"43,332"
,"1,683",,"24,366"
,-,,"289,910"
,-,,"494,308"
,"3,998","-
-","1,164,464"
,"(3,998)",,"(9,545)"
,-,-,"1,154,919"
