AGENDA ITEM,RESOLUTION,FOR,AGAINST
5.,"To adopt the audited Financial Statements for the Financial Year ended 31
December 2015.",,
6.,"To approve a first and final dividend of Kshs 0.49 per share in respect of
the Financial Year ended 31 December 2015.",,
7.,"To approve Directors’ Fees paid in respect of the Financial Year ended 31
December 2015.",,
8. (a),"To re-elect Ms. Sharon Maviala (an Independent Director) in accordance
with Articles 95 and 96 of the Company’s Articles of Asssociation.",,
8. (b),"To re-elect Mr. Hosea Kimutai Kili (an Independent Director) in accordance
with Articles 95 and 96 of the Company’s Articles of Asssociation.",,
9.,"To appoint Messrs PricewaterhouseCoopers (PwC) as the auditors for the
Financial Year ending 31 December 2016 and to authorize the Directors
to fix their remuneration.",,
10. (a),To approve increase in Share Capital.,,
10. (b),To approve listing of additional shares.,,
10. (c),To approve bonus issue of shares.,,
11. (a),"To approve the amendment of Article 6 of the Company’s Articles of
Association to reflect the new share capital.",,
11. (b),"To approve the amendment of Article 157 of the Company’s Articles of
Association by replacing the words “two consecutive days” appearing on
the fourteenth line thereof with the words “one day.”",,
