Column,2015 Actual,2014 Actual
,Kshs '000,Kshs '000
Transactions levy,"269,004","257,702"
Annual listing fees,"40,714","39,128"
Initial listing fees,"3,750","2,750"
"Application and additional
listing fees",877,638
TOTAL,"314,345","300,218"
