Condensed Statement of Profit or Loss and Other,6 Months Ended,6 Months Ended
Comprehensive Income For the,30.06.2015,30.06.2014
,Kshs '000,Kshs '000
Operating income,"314,345","300,218"
Interest income,"44,241","13,536"
Other income,"42,544","39,444"
Total income,"401,130","353,198"
Administrative expenses,"(203,458)","(184,667)"
Finance costs,-,"(10,260)"
Share of profit of associate company,"21,072","20,590"
Net recovery on doubtful debts,-,-
Profit before taxation,"218,744","178,861"
Taxation charge,"(40,164)","(50,980)"
Profit for the period,"178,580","127,881"
Other comprehensive income,-,-
Total comprehensive income,"178,580","127,881"
Earnings Per Share* - Basic and diluted (Kshs),0.92,0.99
*EPS based on weighted average no. of shares,"194,625,000","128,625,000"
