Exchanges,"1 Year Index
Movement %","3 Years Index
Movement %","5 Years Index
Movement %","YTD Index
Movement %"
Namibian Stock Exchange,8.1,19.9,66.7,19.2
"Johannesborg Stock
Exchange",-9.9,-3.4,6.7,6.8
"Dar-es-Salaam Stock
Exchange",-15.4,31.3,57.7,4.73
BRVM,4.2,88.1,78.8,3.32
Nairobi Securities Exchange,-15.9,45.3,25.3,1.18
Stock Exchange of Mauritius,-17.4,0,3.6,0.82
Uganda Securities Exchange,-19,25.2,16.1,-0.44
Rwanda Stock Exchange,-21.7,N/A,N/A,-0.62
Ghana Stock Exchange,-14.6,9.2,N/A,-1.19
Lusaka Stock Exchange,-23.9,-0.5,29.8,-2.88
Malawi Stock Exchange,2.4,58.3,,-3.88
Botswana Stock Exchange,3.1,13.6,-0.1,-4.04
Nigerian Stock Exchange,-41.8,5.7,-11,-8.98
Zimbabwe Stock Exchange,-22.7,9.4,11,-13.25
