Item,Inputs,Inputs applied,Column,"Sensitivity of input to fair
value",Column,Column
,,2019,2018,"Change
in input",2019,2018
,,,,,Ushs million,
Other financial asset,"USD equivalent market
yield on GOU treasury
bonds with similar term",7.83%,17.0%,+-0.1%,"5,101","5,600"
"Concession financial
asset","Market interest rate for
term loans with similar
term",6.29%,7.83%,+-0.1%,16,161
"Concession
obligation",,6.29%,7.83%,+-0.1%,16,161
