Category,Sponsorship,Rationale,Outcome
"Staff Networking and
Knowledge Acquisition",,"• To support Umeme
teams network with
others in the same
field to learn and share
best practices","• Umeme recognised and
awarded at the Public
relations Awards for its
support of the Public
Relations profession.
• Umeme awarded at the
Digital Impact and FIRE
awards."
Sector support,"• Annual Energy Management
Symposium hosted by the
Ministry of Energy and Mineral
Development.","• Support one of our
key stakeholders in the
energy sector.","• Have all sector players
work together towards
better service delivery."
Professions support,"• Accountancy Services Week.
• Makerere University Journalism
and Communications Gala.
• Toastmasters Public Speaking
Contest.
• 125th Anniversary Governance
Conference.","• Talent Identification.
• Positioning Umeme as
employer of choice.","• Acquire best talent in the
market"
Stakeholder Relations,"• Her Majesty Queen Elizabeth II
90th birthday celebrations.
• Late Mulwana Memorial event.
• 2016 Uganda Martyrs’ celebration
• CEO Forum.
• Uganda Manufacturers’
Association Business Networking .
• Uganda Swimming Federation.
• 2016 Urban leaders Forum.
• Housing Finance Conference and
Exhibition.
• 1st Annual Youth Forum on
Climate Change.
• 10th Parliament and Private sector
dialogue for UPPA.","• Building relations with
Influencers like the
business communities,
CEOs and politicians.
• Raising Awareness on
Climate change and
need to take action for
a green environment.","• Creating better
understanding of the
Umeme brand.
• Give Umeme a human
side that shows it is a
caring brand."
Employee Networking,"• 2016 FUFA Corporate
Tournament.","• Staff networking with
other organisations
through sport.","• Better staff engagement
and teamwork."
Donations,"• Uganda Women Cancer Support
Organisation.
• Holy Trinity Fundraising for Priest’s
residence.
• Home of Queen of Katwe
Fundraising .
• Consecration of the new Bishop
of West Buganda Diocese.
• Barclays Bank Fundraising Dinner
for Children with cancer.",• Strategic donations.,"• Maintaining Strategic
Relations with Umeme."
