YEAR,2018,2019,2020,2021,2022
Full Time Employees,"1,508","1,630","1,619","1,564","2,301"
Male,"1,175","1,285","1,273","1,230","1,922"
Female,339,345,346,334,379
Average Age,37,38,39,38,35
Average length of Service,7,7,8,8,7
Average Training hour per staff,19,32,10,25,17
Staff statistics from 2018 to 2022,,,,,
