Director,Number of shares,% of shareholding,Number of shares,% of shareholding
,2022,,2021,
Selestino Babungi,"4,565,000",0.28%,"3,900,000",0.24%
Patrick Bitature,"2,011,100",0.12%,"2,011,100",0.12%
Florence N. Nsubuga,"1,260,000",0.08%,"1,260,000",0.08%
Ridolfi Riccardo,"962,784",0.06%,-,0.00%
Hon. Gerald Ssendaula,"586,800",0.04%,"586,800",0.04%
