"2012
Ushs million",Column,Column,"2011
Ushs million",Column,Column,Column
"60,920",,,"44,617",,,
"(1,914)",,,"(1,485)",,,
"(13,118)",,,"(14,544)",,,
"22,248",,,"21,540",,,
"10,123",,,"2,981",,,
"7,341",,,"8,141",,,
"3,062",,,"3,075",,,
591,,,"2,226",,,
,,"13,118","14,544",,,
847,,,(195),,,
,"3,596",,"6,620",,,
"106,814",,,"87,520",,,
"(8,975)",,,"(6,499)",,,
"9,264",,,"(9,987)",,,
"(91,616)",,,"(6,801)",,,
"(11,928)",,,,"5,417",,
"1,245",,,,"(18,880)",,
"(1,245)",,,,(,,"2,443)"
"127,385",,,1,,,"4,306"
"130,944",,,"62,633",,,
"1,914",,,"1,485",,,
-,,,"14,544",,,
"(12,000)",,,"(3,523)",,,
"(11,120)",,,"(14,745)",,,
"(3,042)",,,"(2,725)",,,
"106,696",,,"57,669",,,
"50,660",,,,,"49,732",
"(3,689)",,,,,"(2,443)",
"46,971",,,,47,,",289"
