Customer Category,"H1 2022
(Ushs bn)","H1 2021
(Ushs bn)","Growth
(%)",No.
Domestic,261.1,244.7,6.7%,"1,600,133"
Commercial,122.9,119.3,3.1%,"88,716"
Industrial – LV,140.0,150.3,-6.8%,"3,133"
Industrial – HV,193.6,177.5,9.1%,634
Industrial - EV,158.3,156.6,1.1%,53
Industrial Park,3.4,-,-,
"Street Lighting & Public
Amenities",0.4,0.3,5.9%,309
Total,879.7,848.6,3.7%,"1,692,978"
