IMPACT OF OUR CAPITAL INVESTMENTS,Column
PROJECT,IMPACT
"Magigye 33/11kV S/s-Fdr refurb (Namulonge - Kawanda/
Bombo)","1. The interventions have led to improvement in the quality and
reliability of supply in the Magigye/Bombo service area and
surroundings 2. The
interlinking and refurbishiment of the feeders in preperation
for Magigye substation is providing alternative supply in case
of maintenance and/or during fault resolution hence allowing
continuity and security of supply to customers"
Tororo Main- Busia 33kV,"Improvement of service reliability and quality of supply in Busia
and the surrounding areas."
Nagongera-Butalejja 11kV,"Improvement of service reliability and quality of supply in
Nagongera , Busolwe, Butalejja and the surrounding areas"
Namugogo - Najeera Zonal Reliability Improvement plan,"The project covered Nalya, Kira, Kayaliwajala, Kasangati &
Gayaza, below is the impact.
1). Outage at peak hours due to overloada reduced to min.
2). The installation of 12 automated MABs reduced down time,
load transfer & isolation of faulty parts is automated
3). It created capacity headroom at Ntinda and Kireka S/S which
were previously overloaded and would trip daily at peak hours"
Kamuli at Jinja Industrial,"The works have led to improvement in reliability of supply
to Kamuli service area. This was majorly attributed to the
installation of inline protection devices and switches as part of
the line refurbishiment"
