Director,18.03.2014,18.06.2014,13.08.2014,19.11.2014
David Grylls,√,A,√,√
Charles Chapman,√,√,√,√
Younes Maamar,√,√,√,A
Patrick Bitature,A,√,A,√
Adrian Mucalov,A,√,√,√
