Income Statement,FY 2023,FY 2022,%ch
,"2,196.4","1,887.3",
,"1,475.0","1,254.6",
,746.7,632.7,
,261.9,247.5,
,483.2,384.8,
,442.1,160.1,
,44.8,45.4,
,15.4,214.9,
Profit After Tax,11.7,148.2,-92.1%
Financial Position at,FY 2023,FY 2022,
,"2,342.1","2,571.1",
,937.6,"1,010.0",
Net Debt,48.4,258.4,-81.3%
,459.9,350.0,
