Column,"2014
ushs million","2013
ushs million",Column
,"618,976",,
,"107,489",,
,"726,465",,
,"131,650",,
,"37,250",,
,"3,488",,
,,"230,813
33,941
404,355
888,906
27,748
70,292",
,"283,712",,
,"29,374",,
,"485,474",,
,"1,211,939",,
,"27,748",,
,"70,292",,
"Retained earnings 215,672 187,725
313,712 285,765
non-current liabilities
Borrowings: Non-current portion 23 265,484 90,798
Concession obligation: Non-current portion 24 107,489 91,787
Deferred income tax liability 11(c) 50,356 37,905
Provisions 25 5,431 3,018
428,760 223,508
current liabilities
Borrowings: Current portion 23 41 234
Concession obligation: Current portion 24 131,650 109,234
Customer security deposits 26 3,576 6,716
Deferred income 27 16,701 8,234
Trade and other payables 28 286,134 241,952
Current income tax payable 11(b) 2,992 246
Bank overdraft 30 28,373 13,017
469,467 379,633
tOtal eQuitY anD liaBilities 1,211,939 888,906
These financial statements were approved by the Board of Directors on 26 March 2015 and signed on its behalf by:
.........................…………….. ………………………..……
Director Director
51
UMEME LIMITED ANNUAL REPORT 2014","215,672",,
,"313,712",,
,"265,484",,
,"107,489",,
,"50,356",,
,"5,431",,
,"428,760",,
,41,,
,"131,650",,
,"3,576",,
,"16,701",,
,"286,134",,
,"2,992",,
,"28,373",,
,"469,467",,
,"1,211,939",,
,,,51
