us$,GBP,eurO,Zar,ushs,tOtal
,"-
-
-","-
-
-","-
471
-","-
197,560
14,386",
,,,,,"201,021"
,,,,,"202,771"
,,,,,"33,942"
,-,-,471,"211,946","437,734"
,"-
-
15
-","-
-
1,085
-","-
-
1,715
-","-
-
181,678
13,017",
,,,,,"101,114"
,,,,,"201,021"
,,,,,"204,507"
,,,,,"13,017"
,15,"1,085","1,715","194,695","519,659"
,(15),"(1,085)","(1,244)","17,251",
,,,,,"(81,925)"
