"GOU support &
assurances rights","Other Concession
rights",Total
Ushs Million,Ushs Million,Ushs Million
,,"1,665,789"
,,"236,427"
,,"(21,171)"
,,"(433,690)"
,,"10,794"
,,"1,458,149"
,,"230,600"
,,"(13,440)"
,,"(159,144)"
,,"29,521"
"3,621","1,542,065","1,545,686"
,,"(348,480)"
,,"(82,668)"
,,"6,504"
,,"(9,707)"
,,"(434,351)"
,,"(92,881)"
,,"1,760"
,,"(8,483)"
"(2,308)","(531,647)","(533,955)"
"1,313","1,010,418","1,011,731"
,,"1,023,798"
