STAKEHOLDER GROUP,ENGAGEMENT,KEY ISSUES,"HOW ISSUES ARE
ADDRESSED"
,"Engage as individual or collective
grouping including consumer
associations. We obtain further
information through:
• Customer satisfaction surveys
• 24/7 customer call centre
• Publications and energy reports
on the website","• Reliability of supply
• Tariffs
• Efficiency of services
• Safety","• Provide information via our
websites
• Customer education
programmes and safety tips
• Drive efficiency and growth for
tariff reductions
• Improve service delivery"
,"We regularly communicate and
engage with our investors via;
• Periodic Investor calls
• Annual shareholder meeting
• Traditional and social media","• Strategy and growth plans
• Company prospects
• Capital allocation
• Governance
• Financial performance and
liquidity Shareholder returns,
including dividends
• Risk management","• Maintain a healthy balance
sheet and sufficient liquidity
• Ensure that investors are
provided timely information on
key issues
• Decision on an extended
Concession"
,"We engage with local and state
Government officials via;
• Meetings with elected officials
in communities surrounding the
Energy sector
• Power plant tours
• Joint planning exercises
conducted with local/state
agencies
• Reporting in compliance with
national and local requirements","• Reliability
• Security, affordability and
sustainability of electricity supply
• Energy market structure and
regulation
• Job creation
• Safety","• Investment in new technologies
to keep long-term electricity
supply reliable, affordable and
sustainable
• Engage in discussions with
Governments other partnerships"
,"We invest in, support and ensure
dialogue with the communities
where we operate via;
• Periodic community meetings in
communities
• Career fairs
• Volunteer projects and social
sustainable programs
• Participation in community
events Website
• Traditional and social media
• In project implementation,
clearing all grievances for Project
Affected Persons.","• Employment of local talent
• Business development in local
communities
• Job creation
• Safety
• Respect of private land and
property
• Social benefits","• Updates on key issues
and projects and feedback
mechanisms on website
• Compensation of Project
Affected Persons during projects
implementation"
,"• We promote suppliers’
success through clear policies,
procedures, terms and
conditions
• It is important to ensure our
suppliers are aligned with our
values and have standards as
high as ours","• Direct contact between vendors
and Umeme supply chain buyers
and sourcing specialists
• Published policies and
guidelines, such as safety
requirements, environmental
guiding principles and supplier
diversity objectives","• Centralized management of key
supply chain categories
• Develop and communicate
safety, environmental, and
diversity guidelines to existing
and prospective suppliers"
,"We engage staff through a
variety of different channels:
• Company intranet
• Multi-lingual update
communications from company
executives
• U-Connect-newsletters
• Yearly performance reviews
• Leadership and employee
development opportunities
• Employee surveys","• Workplace safety
• Career opportunities
• Diversity and inclusion
• Salary and benefits
• Company strategy and
leadership
• Positive corporate image","• Promote two-way
communications
• Increase feedback mechanisms
• Increase involvement in
company related activities"
Customer Investors Government Community Suppliers Our people,,,
