Director,21.03.2018,27.06.2018,14.08.2018,20.11.2018
Gerald Ssendaula,√,√,√,√
Pieter Adriaan Faling,√,√,√,√
Sam Zimbe,√,X,X,X
Florence Nsubuga,√,√,√,√
Selestino Babungi,√,√,√,√
Anthony Marsh,√,N/A,√,√
Ricardo Ridolfi,N/A,N/A,√,√
