"Revenues
Ushs 1.7 trillion","Gross Profit
Ushs 479 billion"
"Operating Costs
Ushs 226 billion","EBITDA
Ushs 246 billion"
"Profit after Tax
Ushs 43 billion","Dividends for the Year
Ushs 19.8 billion"
"Earnings Per Share
Ushs 27","Dividend per Share
Ushs 12.2"
"Operating Cashflow
Ushs 277 billion","Capital Investments
Ushs 279 billion"
"Outstanding Debt
Ushs 517 billion","Shareholder Equity
Ushs 803 billion"
"Term Debt & Interest Paid
Ushs 147 billion
Repayments – Ushs 110 billion; Interest Paid – 37
billion","Dividends Paid
Ushs 67 billion"
"Taxes Remitted to URA
Ushs 95 billion
Composed of direct and indirect tax remittances","BST Payment to UETCL
Ushs 1.2 trillion"
"Payments to Other Government Agencies
Ushs 32 billion",
