Activity,2015 Actual,2016 Actual
Public Fatal accidents-(Attributable),1,0
Public Fatal accidents (Non -Attributable),18,28
Fatal Accidents-Umeme,0,0
Fatal Accidents- Direct Labour Contractors,0,0
Fatal Accidents - Contractors,1,1
Lost Time Accidents – Umeme,5,1
Lost Time Accidents – Direct Labour Contractors,1,1
Lost Time Accident – Contractors,2,1
Fatal RTA – Non Attributable,2,1
