Column,Column,2011,Column,Column
,,Ushs million,,
,,"185,147",,
,,"14,544",,
,,"( 2 7 , 2 9 5 )",,
,,"( 1 4 , 5 4 4 )",,
,,"12,683",,
,,"1 7 0 , 5 3 5",,
,,"170,535",,
"( 4 3 , 8 9 2 )",,"( 2 8 , 5 6 7 )",,
,"1 5 2 , 9 3 6","141,968",,
,,"28,567",,
,,"31,034",,
,,"31,236",,
"8 , 2 5 0",,,"7,658",
"8 , 9 1 0",,,"8,271",
"6 8 , 6 9 5",,,6,"3,769"
,,"170,535",,
