Column,NOT,ES TO THE,FINANCIA,Column,L STATEM,ENTS (Con,tinued)
ANCIA,L ASSET,,Ushs,,"2013
million",Ushs m,"2012
illion"
,,,,,,1,"70,535
13,118
13,175"
,,,,,"196,828",,
,,,,,"16,933",,
,,,,,"(12,740)",,
,,,,,,,"6,828"
,,,,,,19,
,,,,,"201,021",,
,,,,,,1,"96,828"
,,,,,"201,021",,
,,,,"(109,234)",,,
,,,,,,(4,"3,892)
2,936"
,,,,,,15,
,,,,"91,787",,,
,,,,,"109,234",,"43,892"
,,,,,"109,234",,
,,,,"6,826",,,
,,,,,,,"33,432
33,649
8,250
8,910"
,,,,"7,372",,,
,,,,"7,961",,,
,,,,"8,598",,,
,,,,"61,030",,,
,,,,"201,021",,,
