Customer number breakdown,2017,2016,Growth
Domestic,"1,026,205","867,671",18%
Commercial/Industrial,"95,483","79,746",20%
Street Lighting,322N,umbe r3 0o6 f,custom5%er
Industrial - Medium,"2,735","2,564",7%
Industrial - Large,546,527,4%
,"1,125,291","950,814",18%
