Project Name,Project area,Project Description and Location
"Siti 2 evacuation lines and
Substation","Mbale / Bugisu
region","Constructed an evacuation line of approximately 130 km from Bukwo
district to Mbale to evacuate 16.5MW of power from Siiti 2 hydro
power project by Elgon Hydro Siiti 2 (pvt) ltd. The project included
an upgrade of the Mbale Substation and installation of of a 9MVAR
Capacitor bank to accommodate the new loads."
"MMP Industrial Park, Buikwe",Buikwe District,"Constructed a double circuit 33KV distribution lines on concrete poles
from Njeru to MMP Industrial Park"
"Tangshan Mbale Industrial Park -
Switching station","Mbale District /
Bugisu region","Construction of a 33KV Switching station at the park to stablise
supply and integrate with the UETCL 50MVA substation at the Mbale
Industrial Park"
"UETCL Mukono 33kV line
Integration, Moniko, Tiantang,
Mukono 1, NWSC Katosi,
Mpata Lines",Mukono District,"Construction of a 33kV Line, installation of Air Break Switches, Auto
Reclosers and HT meters. Line intended to evacuate power from the
new UETCL substation while enhancing security and quality of supply
to the Mbalala industrial area including supply to the NWSC Katosi
plant"
"UETCL Namanve 33kV Line
Integration",Mukono District,"Line for evacuation of power from the new UETCL Namanve South
substation while enhancing security and quality of supply for the
industrial area industrial customers as well as operational flexibility"
"Kapeeka Industrial Park
Reticulation","Bombo- Kapeeka
Industrial area","New Power line construction and supply stabilisation for Kapeeka
Industrial park including installation of Air break switches to improve
operational efficiency"
"Kawanda Wabigalo reliability
plan",Bombo District,"Upgrade the over loaded feeder with conductor from ACSR25sqmm
to ACSR100sqmm of R/L 3,003m; from ACSR100sqmm to
ACSR150sqmm of R/L 4,855m and from ACSR25sqmm to
ACSR50sqmm of R/L 100m"
"Clock Tower UETCL - Ggaba
33kV Interconnector",Kampala District,"Construct 33kV interconnector from Queensway to Ggaba substation
of R/L 7km."
"Transformer zones
improvements","Various parts of the
Country","Injection of Transformers in different regions and parts of the Country
to improve quality of power supply to residential areas, townships,
schools, Health centers, etc to improve economic activity"
Mbale Industrial feeder upgrades,Mbale District,"Upgrade the Mbale Industrial 11kv feeder including addition of new
transformers"
"Jinja 11kV feeders optimisation
(Walukuba, Wairaka, Jinja Town
and Mutai)",Jinja District,"Upgrade the backbone conductors on Wairaka feeder and Mutai
feeder; Create a meshed network with the Mutai feeder and the Jinja
Town feeder for reliability including reconfiguration of Walukuba feeder"
"Prepayment Metering Retrofit,
2019","Various parts of the
Country","Conversion of 168,000 customers from Post Paid to prepayment
conversion to improve customer service experience and deliver
operational efficiencies."
Gulu substation upgrade,Gulu District,"Upgrade of Gulu Substation by constructing a new plant house,
installing new Switchgears and protection relays to create operational
flexibility and upgrading the Power transformers to sustain the growing
power demand"
Kisubi substation upgrade,Entebbe,"Upgrade the Kisubi substation 5 MVA Power transfomer to 10/14 MVA
to address load growth in Kisubi area and align with the new UETCL
substations under construction"
"Nakawa Substation and
Interconnecting lines",Kampala District,"Construct a 15/20 MVA substation with new bays to relieve the existing
busbars that are over loaded and also ensure stabilisation of supply
to the growing power demand. Substation was also put on Scada to
ensure operational efficiency"
