Direc,tor,Column,Column,Number of shares,Column
Patrick,Bitature,,,"4,95","0,000"
Charle,s Chapman,,,"4,169,000",
Stuart,David Michael Gry,lls (as UH,L Nominee),"100,000",
Total,,,,"9,219,000",
