Income Statement,FY 2022,FY 2021,%ch
,511.0,524.6,
,(339.5),(345.9),
,171.5,178.7,
,(67.0),(66.8),
,104.4,112.0,
,(12.3),(10.9),
,61.4,52.4,
Profit After Tax,43.4,37.2,16.7%
Financial Position at,FY 2022,FY 2021,%ch
,691.4,706.4,
,271.6,251.6,
Net Debt,69.5,107.5,-35.3%
,95.1,87.9,
