Income Statement,FY 2022,FY 2021,%ch
,1887.3,1885.0,
,(1254.6),(1242.8),
,632.7,642.2,
,(247.5),(239.9),
,384.8,402.3,
,(45.4),(39.0),
,214.9,194.0,
Profit After Tax,148.2,139.1,6.5%
Financial Position at,FY 2022,FY 2021,
,"2,571.1","2,507.3",
,1010.0,893.2,
Net Debt,258.4,381.5,-32.3%
,350.0,315.0,
