Director,"Number of
shares","% of
shareholding","Number of
shares","% of
shareholding"
,2016,,,
,"6,232,484",0.38%,"3,160,000",
,"5,844,684",0.36%,"2,700,000",
,"2,011,100",0.12%,"228,300",
,"1,260,000",0.08%,"2,260,000",
,"586,800",0.04%,"827,200",
,"201,600",0.01%,-,
,-,-,"7,290,000",
,-,-,"100,000",
