Customer Category,"H1 2022
(GWh)","H1 2021
(GWh)","Growth
(%)"
Domestic,401.0,359.7,11.5%
Commercial,205.1,183.7,11.6%
Industrial – LV,261.8,237.4,10.3%
Industrial – HV,494.6,446.4,10.8%
Industrial - EV,495.8,492.1,0.7%
Industrial Park,16.1,-,-
"Street Lighting & Public
Amenities",1.0,0.9,7.7%
Total,"1,875.4","1,720.2",9.0%
