Item,Inputs,Inputs applied,Column,Sensitivity of input to fair value,Column,Column
,,2023,2022,"Change
in input",2023,2022
,,,,,Ushs million,
"Other financial
asset","USD equivalent market
yield on GOU treasury
bonds with similar term",10.44%,9.46%,+-0.1%,"1,893","3,929"
"Concession
financial asset","Market interest rate for
term loans with similar
term",8.50%,5.90%,+-0.1%,5,12
"Concession
obligation",,8.50%,5.90%,+-0.1%,5,12
