Column,2011,2010
,Ushs’000,Ushs’000
"i) Amounts due to related
parties",,
"Payable to Globeleq Expatriate
Services Ltd","287,506","238,714"
"Payable to Globeleq Africa Holdings
Ltd","1,687","3,755"
Payable to Actis - Recharges,"77,510",-
,"366,703","242,469"
"ii) Amounts due from
related parties",,
GQ - Mini Generation Project,"4,030","4,030"
GQ - Distribution Projects,"18,428","18,428"
,"22,458","22,458"
"iii) Bank balances due from
related parties",,
DFCU Bank Limited,"12,056,301","1,823,433"
"The bank balance above is a demand deposit and is at the bank’s normal
commercial terms. All balances due from/to related parties are unsecured.
No impairment loss has been recognised on balances due from related
parties.",,
"iv) Loans due to related parties:
As disclosed under Note 19.",,
