-,Column,"4,835",Column,"67,051"
"3,673",,"29,382",,"247,303"
"244,739",,-,,"244,739"
"248,412","15,925","34,217","260,538","559,093"
"(24,439)","(4,907)","(4,835)","(57,308)","(91,490)"
