Emission Source/Scope,Unit,Quantity
Total Electricity Consumed,Kwh,"2,709,559"
Total Fuel Consumed,Litres,"2,432,902"
Total Poles Used,Pcs,"46,768"
Water,Cubic metres,"31,529"
Sulphur Hexafluoride (SF6),Kg,10.5
Total Green House Gas emissions,KgCO2e,"15,847,901"
Scope 1,KgCO2e,"6,524,460"
Scope 2,KgCO2e,"2,632,970"
Scope 3,KgCO2e,"6,690,471"
