Customer Category,"FY 2022
(UShs Bn)","FY 2021
(UShs Bn)","Growth
(%)",No.
Domestic,551.3,505.5,9.1%,"1,663,391"
Commercial,254.9,234.5,8.7%,"89,926"
Street Lighting,0.8,0.7,22.3%,"3,244"
Industrial – Medium,286.6,293.6,-2.4%,664
Industrial - Large,410.1,360.6,13.8%,303
Industrial – Extra Large,324.9,316.0,2.8%,52
Total,"1,829","1,711",6.9%,"1,757,563"
