Income Statement,H1 2023,Column,H1 2022,%ch
,289.0,,249.4,
,(193.4),,(172.0),
,95.6,,77.4,
,(30.1),,(32.0),
,65.6,,45.3,
,,56.5,21.8,158.7%
,(6.9),,,
,,,(4.9),
,3.6,,29.7,
Profit After Tax,2.6,,21.8,-88.1%
Financial Position at,H1 2023,,FY 2022,%ch
,656.8,,691.4,
,246.1,,271.6,
Net Debt,20.4,,71.2,-72%
,59.4,,52.1,
