Exit Category,2013,2014,2015,2016
Resignations,43,28,27,26
Dismissals,27,22,13,19
Retirement,4,13,11,4
Termination,40,26,8,14
Expiry of Contract,-,2,9,3
Deaths,8,6,0,2
Total,122,97,68,68
Turnover Rate,8.7%,6.9%,4.9%,4.9%
