"2005 -
2011",2012,2013,2014,2015,2016,2017,2018,Total
"Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million"
,,,,,,,"226,830","1,752,536"
,,,,,,,123,"14,026"
,,,,,,,"2,794","21,398"
,,,,,,,837,"39,400"
,,,,,,,16,"21,119"
,,,,,,,"230,600","1,848,479"
,,,,,,,"213,696","1,735,202"
,,,,,,,"16,904","113,277"
,,,,,,,"230,600","1,848,479"
,,,,,,,"3,732",
,,,,,,,61,627
