Column,2011,2010
,Ushs’000,Ushs’000
Domestic customers,100,100
"Commercial customers -
ordinary",200,200
"Commercial customers -
commercial time",500,500
Industrial customers - ordinary,"1,000","1,000"
Industrial customers - heavy,"2,000","2,000"
