STATEM,ENT OF C,OMPREHE,NSIVE IN,COME
,FOR,THE YEAR EN,"DED 31 DECEM
2","BER 2013
012"
,Ush,"2013
s million",Ushs mil,lion
,,"83,667","57,",110
,,,,-
,,-,,
,,"83,667","57,",110
