"Number of
Shareholders","Number of
shares held","Percentage
shareholding"
472,"90,920",0.01%
"2,838","5,311,652",0.33%
632,"5,002,941",0.31%
"1,097","33,521,482",2.06%
435,"115,549,428",7.12%
126,"1,464,401,582",90.18%
"5,600","1,623,878,005",100.00%
