Column,22.03.2022,28.06.2022,16.08.2022,Column
Stephen Emasu,√,√,√,√
"Hon. Gerald
Ssendaula",√,√,√,√
Andrew Buglass,√,√,√,√
Anthony Marsh,√,√,√,√
√ Attendance | A Apology | N/A Not yet appointed | √*AD Attendance by Alternate | *X Resigned,,,,
