Customer Category,"H1 2024
(GWh)","H1 2023
(GWh)",Growth %
Domestic,504.8,431.2,17.1%
Commercial,255.4,2 2 3 . 5,14.3%
Street Lighting,1.6,1 . 2,33.3%
Industrial – Medium,316.5,2 8 8 . 2,9.8%
Industrial - Large,633.2,5 6 7.6,11.6%
Industrial – Extra Large,557.1,5 1 9.5,7.2%
Total,"2,268.5","2,031.3",11.7%
