The key audit matter,How the matter was addressed in our audit
Revenue recognition:,
See Note 3 of the financial statements,
"The Company recognised revenue of Ushs 1,312 billion which
is derived from a number of price controls imposed by the
Electricity Regulatory Authority (ERA) embedded within the tariff
methodology.
Revenue recognised is dependent on a complex tariff methodology
and units consumed. The respective tariffs, used to bill each class of
customers, are approved by ERA on a quarterly basis. Management
has to apply the correct ERA approved tariffs to the actual
units consumed by customers to determine the revenue to be
recognised. Due to the complexity of the tariff methodology and
the significance of the revenue balance in the financial statements,
revenue recognition has been identified as a key audit matter in the
current year audit.","• We tested the design and operating effectiveness of
key controls in relation to the recognition of revenue,
with particular focus on controls over management’s
application of the tariffs approved by ERA and the
determination of units consumed by customers.
• We tested the revenue recognised by comparing the
value of units sold based on the approved tariffs to the
revenue recorded. We inspected regulatory approved
tariffs to test that the amounts charged were consistent
with those tariffs.
• We inspected a sample of customer rates to verify
that they were properly updated on a quarterly basis
in the billing systems, and that the rate types assigned
to customers were consistent with the customer
classification and (where appropriate) the volume of
usage."
