Column,Column,H1 2015,H1 2014,Growth
Revenue,Ushs bn,548,483,+13%
Gross profit,Ushs bn,201,154,+31%
EBITDA,"Ushs bn
US$ m","113
38","84
33","+35%
+14%"
PAT,Ushs bn,-­‐4,38,-­‐112%
PAT adjus4ng for unrealised FX losses,"Ushs bn
US$ m","57
19","46
18","+25%
+6%"
Interim dividend per share,Ushs,10.8,9.4,+15%
